SITE,SECTORID,RECOMMENDATION_TYPE,COST,PRIORITY,CLUSTERID,CLUSTER_LEVEL,GROUP_ID,IMPLEMENTATION_DATE
25077132094,160,Entrance L2100,58643.18,3,55473965,YES,2,43
25077132094,300,Entrance L2100,123200.15,3,55473965,YES,2,43
25077132096,10,Entrance L2100,128957.1,3,55473965,YES,2,43
25077132100,120,Entrance L2100,110099.08,3,55473965,YES,2,43
25077132100,230,Entrance L2100,98650.78,3,55473965,YES,2,43
25077132100,5,Entrance L2100,64559.53,3,55473965,YES,2,43
25077132102,315,Entrance L2100,67992.2,3,55473965,YES,2,43
25077132104,235,Entrance L2100,143134.99,3,55473965,YES,2,43
25077132105,200,Entrance L2100,133047.04,3,55473965,YES,2,43
25077132105,80,Entrance L2100,58752.51,3,55473965,YES,2,43
25077132107,210,Entrance L2100,112632.15,3,55473965,YES,2,43
25077132107,345,Entrance L2100,87605.99,3,55473965,YES,2,43
25077132107,70,Entrance L2100,106775.64,3,55473965,YES,2,43
25077132108,270,Entrance L2100,128611.18,3,55473965,YES,2,43
25077132109,245,Entrance L2100,61431.76,3,55473965,YES,2,43
25077132109,325,Entrance L2100,92343.5,3,55473965,YES,2,43
25077132112,245,Entrance L2100,50532.13,3,55473965,YES,2,43
25077132112,55,Entrance L2100,102536.21,3,55473965,YES,2,43
25077132113,145,Entrance L2100,73044.31,3,55473965,YES,2,43
25077132113,335,Entrance L2100,103563.67,3,55473965,YES,2,43
25077132113,65,Entrance L2100,26713.54,3,55473965,YES,2,43
25077132114,280,Entrance L2100,39134.79,3,55473965,YES,2,43
25077132114,40,Entrance L2100,100172.16,3,55473965,YES,2,43
25077132115,250,Entrance L2100,184130.86,3,55473965,YES,2,43
25077132115,30,Entrance L2100,105665.67,3,55473965,YES,2,43
25077132116,300,Entrance L2100,86969.59,3,55473965,YES,2,43
25077132116,90,Entrance L2100,54634.91,3,55473965,YES,2,43
25077132119,140,Entrance L2100,173691.82,3,55473965,YES,2,43
25077132119,20,Entrance L2100,52287.57,3,55473965,YES,2,43
25077132119,260,Entrance L2100,93414.78,3,55473965,YES,2,43
25077132120,140,Entrance L2100,13815.8,3,55473965,YES,2,43
25077132120,230,Entrance L2100,93508.3,3,55473965,YES,2,43
25077132120,305,Entrance L2100,108780.78,3,55473965,YES,2,43
25077132122,340,Entrance L2100,75935.22,3,55473965,YES,2,43
25077132123,120,Entrance L2100,101117.47,3,55473965,YES,2,43
25077132123,240,Entrance L2100,161569.08,3,55473965,YES,2,43
25077132124,15,Entrance L2100,129568.06,3,55473965,YES,2,43
25077132124,270,Entrance L2100,127229.33,3,55473965,YES,2,43
25077132126,150,Entrance L2100,67557.14,3,55473965,YES,2,43
25077132126,20,Entrance L2100,134691.19,3,55473965,YES,2,43
25077132127,150,Entrance L2100,60764.3,3,55473965,YES,2,43
25077132130,130,Entrance L2100,112456.73,3,55473965,YES,2,43
25077132131,65,Entrance L2100,149789.59,3,55473965,YES,2,43
25077132135,5,Entrance L2100,52538.06,3,55473965,YES,2,43
25077132137,120,Entrance L2100,136893.75,3,55473965,YES,2,43
25077132137,350,Entrance L2100,92704.61,3,55473965,YES,2,43
25077132138,45,Entrance L2100,109635.51,3,55473965,YES,2,43
25077132140,355,Entrance L2100,83175.49,3,55473965,YES,2,43
25077132142,145,Entrance L2100,82229.44,3,55473965,YES,2,43
25077132142,345,Entrance L2100,45214.21,3,55473965,YES,2,43
25077132144,20,Entrance L2100,83317.98,3,55473965,YES,2,43
25077132146,15,Entrance L2100,118271.76,3,55473965,YES,2,43
25077132147,120,Entrance L2100,39812.08,3,55473965,YES,2,43
25077132148,220,Entrance L2100,127840.86,3,55473965,YES,2,43
25077132148,330,Entrance L2100,138288.79,3,55473965,YES,2,43
25077132148,60,Entrance L2100,72744.61,3,55473965,YES,2,43
25077132149,205,Entrance L2100,105732.6,3,55473965,YES,2,43
25077132149,295,Entrance L2100,136299.6,3,55473965,YES,2,43
25077132154,165,Entrance L2100,109139.91,3,55473965,YES,2,43
25077132156,120,Entrance L2100,98464.45,3,55473965,YES,2,43
25077132158,180,Entrance L2100,91094.35,3,55473965,YES,2,43
25077132158,270,Entrance L2100,165266.11,3,55473965,YES,2,43
25077132158,50,Entrance L2100,125652.41,3,55473965,YES,2,43
25077132160,105,Entrance L2100,115516.56,3,55473965,YES,2,43
25077132160,230,Entrance L2100,123307.87,3,55473965,YES,2,43
25077132160,345,Entrance L2100,121946.46,3,55473965,YES,2,43
25077132161,120,Entrance L2100,70422.46,3,55473965,YES,2,43
25077132163,180,Entrance L2100,68007.13,3,55473966,YES,2,50
25077132164,130,Entrance L2100,71427.61,3,55473965,YES,2,43
25077132169,100,Entrance L2100,52533.11,3,55473965,YES,2,43
25077132169,15,Entrance L2100,59277.52,3,55473965,YES,2,43
25077132173,15,Entrance L2100,114874.01,3,55473965,YES,2,43
25077132174,255,Entrance L2100,56640.34,3,55473965,YES,2,43
25077132175,230,Entrance L2100,51488.17,3,55473965,YES,2,43
25077132175,335,Entrance L2100,69633.18,3,55473965,YES,2,43
25077132177,195,Entrance L2100,76805.66,3,55473965,YES,2,43
25077132177,305,Entrance L2100,49542.67,3,55473965,YES,2,43
25077132179,225,Entrance L2100,161515,3,55473965,YES,2,43
25077132179,55,Entrance L2100,45333.09,3,55473965,YES,2,43
25077132180,0,Entrance L2100,35976.81,3,55473965,YES,2,43
25077132182,170,Entrance L2100,39907.38,3,55473965,YES,2,43
25077132183,160,Entrance L2100,76784.52,3,55473965,YES,2,43
25077132183,305,Entrance L2100,60850.72,3,55473965,YES,2,43
25077132183,45,Entrance L2100,133422.98,3,55473965,YES,2,43
25077132184,160,Entrance L2100,93030.05,3,55473965,YES,2,43
25077132186,320,Refarming L1800,69566.43,1,55473965,YES,1,41
